,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,Prediction
328,32.2,4,108.0,75.0,2265,15.2,80,3,toyota corolla,56.70059298851395
329,46.6,4,86.0,65.0,2110,17.9,80,3,mazda glc,41.53802715220383
330,27.9,4,156.0,105.0,2800,14.4,80,1,dodge colt,63.97259685317325
331,40.8,4,85.0,65.0,2110,19.2,80,3,datsun 210,46.45603259352803
332,44.3,4,90.0,48.0,2085,21.7,80,2,vw rabbit c (diesel),43.34624753199895
333,43.4,4,90.0,48.0,2335,23.7,80,2,vw dasher (diesel),44.101740351736105
334,36.4,5,121.0,67.0,2950,19.9,80,2,audi 5000s (diesel),51.140271221309064
335,30.0,4,146.0,67.0,3250,21.8,80,2,mercedes-benz 240d,60.18128347596023
336,44.6,4,91.0,67.0,1850,13.8,80,3,honda civic 1500 gl,43.100662095445735
338,33.8,4,97.0,67.0,2145,18.0,80,3,subaru dl,54.432415336604066
339,29.8,4,89.0,62.0,1845,15.3,80,2,vokswagen rabbit,60.52112652198352
340,32.7,6,168.0,132.0,2910,11.4,80,3,datsun 280-zx,55.96983943751928
341,23.7,3,70.0,100.0,2420,12.5,80,3,mazda rx-7 gs,73.39116312127807
342,35.0,4,122.0,88.0,2500,15.1,80,2,triumph tr7 coupe,52.856997819428756
344,32.4,4,107.0,72.0,2290,17.0,80,3,honda accord,56.40579929075916
345,27.2,4,135.0,84.0,2490,15.7,81,1,plymouth reliant,65.35578176562483
346,26.6,4,151.0,84.0,2635,16.4,81,1,buick skylark,66.59463007532878
347,25.8,4,156.0,92.0,2620,14.4,81,1,dodge aries wagon (sw),68.3287895470406
348,23.5,6,173.0,110.0,2725,12.6,81,1,chevrolet citation,73.91663278487182
349,30.0,4,135.0,84.0,2385,12.9,81,1,plymouth reliant,60.18128347596023
350,39.1,4,79.0,58.0,1755,16.9,81,3,toyota starlet,48.150668069941055
351,39.0,4,86.0,64.0,1875,16.4,81,1,plymouth champ,48.25458418291711
352,35.1,4,81.0,60.0,1760,16.1,81,3,honda civic 1300,52.730195710307335
353,32.3,4,97.0,67.0,2065,17.8,81,3,subaru,56.55277588802707
354,37.0,4,85.0,65.0,1975,19.4,81,3,datsun 210 mpg,50.44122518544133
355,37.7,4,89.0,62.0,2050,17.3,81,3,toyota tercel,49.651606747036794
356,34.1,4,91.0,68.0,1985,16.0,81,3,mazda glc 4,54.028992291750264
357,34.7,4,105.0,63.0,2215,14.9,81,1,plymouth horizon 4,53.24144033599004
358,34.4,4,98.0,65.0,2045,16.2,81,1,ford escort 4w,53.63205376809184
359,29.9,4,98.0,65.0,2380,20.7,81,1,ford escort 2h,60.3506816384759
360,33.0,4,105.0,74.0,2190,14.2,81,2,volkswagen jetta,55.541184597988995
362,33.7,4,107.0,75.0,2210,14.4,81,3,honda prelude,54.56835903028477
363,32.4,4,108.0,75.0,2350,16.8,81,3,toyota corolla,56.40579929075916
364,32.9,4,119.0,100.0,2615,14.8,81,3,datsun 200sx,55.68326956423171
365,31.6,4,120.0,74.0,2635,18.3,81,3,mazda 626,57.60556908319567
366,28.1,4,141.0,80.0,3230,20.4,81,2,peugeot 505s turbo diesel,63.58906993149515
368,30.7,6,145.0,76.0,3160,19.6,81,2,volvo diesel,59.023989779474604
369,25.4,6,168.0,116.0,2900,12.6,81,3,toyota cressida,69.2335326174711
370,24.2,6,146.0,120.0,2930,13.8,81,3,datsun 810 maxima,72.11252908026641
371,22.4,6,231.0,110.0,3415,15.8,81,1,buick century,76.96075111473267
372,26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobile cutlass ls,66.59463007532878
373,20.2,6,200.0,88.0,3060,17.1,81,1,ford granada gl,83.95864217373202
374,17.6,6,225.0,85.0,3465,16.6,81,1,chrysler lebaron salon,94.28452926306144
375,28.0,4,112.0,88.0,2605,19.6,82,1,chevrolet cavalier,63.78020267961698
376,27.0,4,112.0,88.0,2640,18.6,82,1,chevrolet cavalier wagon,65.7630960771659
377,34.0,4,112.0,88.0,2395,18.0,82,1,chevrolet cavalier 2-door,54.16273810896326
378,31.0,4,112.0,85.0,2575,16.2,82,1,pontiac j2000 se hatchback,58.54275749725402
379,29.0,4,135.0,84.0,2525,16.0,82,1,dodge aries se,61.92359692404432
380,27.0,4,151.0,90.0,2735,18.0,82,1,pontiac phoenix,65.7630960771659
381,24.0,4,140.0,92.0,2865,16.4,82,1,ford fairmont futura,72.6180944050014
383,36.0,4,105.0,74.0,1980,15.3,82,2,volkswagen rabbit l,51.61821141787679
384,37.0,4,91.0,68.0,2025,18.2,82,3,mazda glc custom l,50.44122518544133
385,31.0,4,91.0,68.0,1970,17.6,82,3,mazda glc custom,58.54275749725402
386,38.0,4,105.0,63.0,2125,14.7,82,1,plymouth horizon miser,49.32140756157849
387,36.0,4,98.0,70.0,2125,17.3,82,1,mercury lynx l,51.61821141787679
388,36.0,4,120.0,88.0,2160,14.5,82,3,nissan stanza xe,51.61821141787679
389,36.0,4,107.0,75.0,2205,14.5,82,3,honda accord,51.61821141787679
390,34.0,4,108.0,70.0,2245,16.9,82,3,toyota corolla,54.16273810896326
391,38.0,4,91.0,67.0,1965,15.0,82,3,honda civic,49.32140756157849
392,32.0,4,91.0,67.0,1965,15.7,82,3,honda civic (auto),56.99877854537647
393,38.0,4,91.0,67.0,1995,16.2,82,3,datsun 310 gx,49.32140756157849
394,25.0,6,181.0,110.0,2945,16.4,82,1,buick century limited,70.16490462045655
395,38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),49.32140756157849
396,26.0,4,156.0,92.0,2585,14.5,82,1,chrysler lebaron medallion,67.88603970217332
397,22.0,6,232.0,112.0,2835,14.7,82,1,ford granada l,78.13705426270423
398,32.0,4,144.0,96.0,2665,13.9,82,3,toyota celica gt,56.99877854537647
399,36.0,4,135.0,84.0,2370,13.0,82,1,dodge charger 2.2,51.61821141787679
400,27.0,4,151.0,90.0,2950,17.3,82,1,chevrolet camaro,65.7630960771659
401,27.0,4,140.0,86.0,2790,15.6,82,1,ford mustang gl,65.7630960771659
402,44.0,4,97.0,52.0,2130,24.6,82,2,vw pickup,43.59491538558767
403,32.0,4,135.0,84.0,2295,11.6,82,1,dodge rampage,56.99877854537647
404,28.0,4,120.0,79.0,2625,18.6,82,1,ford ranger,63.78020267961698
405,31.0,4,119.0,82.0,2720,19.4,82,1,chevy s-10,58.54275749725402
